outer_test_participant,family,candidate_id,candidate_order,params,participant_mean_balanced_accuracy,n_validation_participants
S6,xgboost,"xgboost:max_depth=2,learning_rate=0.1,class_weight_mode=none",2,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.1, ""max_depth"": 2}",0.8564175590491381,14
S6,xgboost,"xgboost:max_depth=2,learning_rate=0.1,class_weight_mode=training_ratio",3,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.1, ""max_depth"": 2}",0.8519366598313968,14
S6,xgboost,"xgboost:max_depth=3,learning_rate=0.03,class_weight_mode=none",4,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.03, ""max_depth"": 3}",0.8365364167995748,14
S6,xgboost,"xgboost:max_depth=3,learning_rate=0.03,class_weight_mode=training_ratio",5,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.03, ""max_depth"": 3}",0.8366617300827827,14
S6,xgboost,"xgboost:max_depth=3,learning_rate=0.1,class_weight_mode=none",6,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.1, ""max_depth"": 3}",0.8533796612743982,14
S6,xgboost,"xgboost:max_depth=3,learning_rate=0.1,class_weight_mode=training_ratio",7,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.1, ""max_depth"": 3}",0.8565428723323459,14
S7,logistic,"logistic:C=0.1,class_weight=None",0,"{""C"": 0.1, ""class_weight"": null}",0.8604541657173236,14
S7,logistic,"logistic:C=0.1,class_weight=balanced",1,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.849384825700615,14
S7,logistic,"logistic:C=1.0,class_weight=None",2,"{""C"": 1.0, ""class_weight"": null}",0.8442166021113389,14
S7,logistic,"logistic:C=1.0,class_weight=balanced",3,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.8364984430773904,14
S7,logistic,"logistic:C=10.0,class_weight=None",4,"{""C"": 10.0, ""class_weight"": null}",0.8293878635983898,14
S7,logistic,"logistic:C=10.0,class_weight=balanced",5,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.8237487658540289,14
S7,random_forest,"random_forest:max_depth=3,min_samples_leaf=5,class_weight=None",0,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 5}",0.8272290574922154,14
S7,random_forest,"random_forest:max_depth=3,min_samples_leaf=5,class_weight=balanced",1,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 5}",0.8052346776030986,14
S7,random_forest,"random_forest:max_depth=3,min_samples_leaf=2,class_weight=None",2,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 2}",0.8308004860636441,14
S7,random_forest,"random_forest:max_depth=3,min_samples_leaf=2,class_weight=balanced",3,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 2}",0.8125655046707678,14
S7,random_forest,"random_forest:max_depth=6,min_samples_leaf=5,class_weight=None",4,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 5}",0.8425913268018531,14
